"Mean size of fish (centimeter) by Age class (year). Class i designates interval [i,i+1[."
"Time","Age","lesserSpottedDogfish","redMullet","pouting","whiting","poorCod","cod","dragonet","sole","plaice","horseMackerel","mackerel","herring","sardine","squids"
7.0,15.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,16.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,17.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,18.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,19.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,21.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,23.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.0,24.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.0,0.0,15.807796,4.203457,8.28447,5.1865516,5.130802,6.7492027,4.5643086,9.0646925,11.9935055,2.9511852,10.695138,3.8325663,6.5958962,4.6638994
8.0,1.0,31.08455,25.194204,12.452807,34.30579,11.592966,36.027283,13.321656,18.135345,29.51868,15.764687,18.684643,12.904658,19.290485,12.760431
8.0,2.0,45.739475,34.023018,11.788772,46.311146,16.817251,76.98135,18.278862,16.594736,44.525295,18.59513,18.810669,25.372505,25.913498,NaN
8.0,3.0,51.618134,37.335945,10.318179,43.725937,NaN,81.67268,35.080383,26.41705,60.07386,18.736698,32.75473,NaN,29.722044,NaN
8.0,4.0,57.646782,48.853107,NaN,45.546432,NaN,88.93692,NaN,27.409979,90.26205,49.2997,33.854706,16.37679,29.695353,NaN
8.0,5.0,71.43737,72.25678,NaN,47.283478,NaN,135.23026,NaN,44.543324,99.830124,NaN,59.590523,15.749002,32.874554,NaN
