"Predation (Mpred), Starvation (Mstarv), Additional mortality (Madd), Fishing (F) & Out-of-domain (Zout) mortality rates per time step of saving, except for Madd Eggs that is expressed in osmose time step. Z is the total mortality for migratory fish outside the simulation grid. To get annual mortality rates, sum the mortality rates within one year."
"Time","Mpred","Mpred","Mpred","Mstarv","Mstarv","Mstarv","Madd","Madd","Madd","F","F","F","Zout","Zout","Zout","Mfor","Mfor","Mfor"
,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits,Eggs,Pre-recruits,Recruits
25.0,8.691753826485026E-4,0.7050619384280696,0.693971262627239,0.0,0.02635268877809211,0.00972297513430533,0.8938411304844543,0.08685062771406413,0.08693130724923208,0.0,0.0,0.013867832475566328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26.0,0.016244210063961175,1.0541289227120285,0.647541446513711,0.0,0.021610111860522398,0.0062654244903060175,0.8954603537848751,0.08669531002559434,0.0868661541554945,0.0,0.0,0.02111035631202371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
27.0,0.025099118749237165,0.5149349752786023,0.6037804621620253,0.0,0.028740364282970977,0.010404520757165112,0.8963894961472564,0.08697814206380153,0.08691441983720764,0.0,0.0,0.02387494722365146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
28.0,0.03022965139497707,0.3307807980298928,0.5111507470545149,0.0,0.03821079809289917,0.016778193644084862,0.8969328805766287,0.08696520692719673,0.08696219616628774,0.0,0.0,0.019595365603462325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
29.0,0.013731669059213,0.4814400887158402,0.8418993800754916,0.0,0.044924828923628354,0.020025700890734164,0.8951970436025655,0.08690668119065809,0.08682026977816175,0.0,0.0,0.0158974662685205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30.0,0.0032788578546334656,0.42192161215789425,0.6698508506299259,0.0,0.03647353104727682,0.019285251174126848,0.8940938936730958,0.08690677667216844,0.08688470785058593,0.0,0.0,0.01649776362085586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31.0,0.006798324337543391,0.3371986289545769,0.6518244342268994,0.0,0.039824541330216436,0.023435281725883876,0.8944638011070508,0.08694741825072895,0.08692916666579156,0.0,0.0,0.014036967833347087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32.0,0.008628376081075757,0.4698265897536577,0.7122759674693921,0.0,0.044250332225926184,0.025206646750362396,0.8946561023782237,0.08693883249305209,0.086881988665268,0.0,0.0,0.013618172144615302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
33.0,0.0040804116303714884,0.4971584071689648,0.6712402823392734,0.0,0.039605821144452685,0.02288385377136939,0.8941781051578209,0.08692233486765441,0.08689548114489289,0.0,0.0,0.014092236842293906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34.0,0.01901338345497245,0.45540372211140084,0.7882782000943807,0.0,0.03960040958281208,0.02269677888654873,0.8957507229944986,0.08697905176694457,0.08692296085278761,0.0,0.0,0.016979596188992106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
35.0,0.007017190817115299,0.39875219912676096,0.5109171772601498,0.0,0.049719583569104005,0.02519363918789998,0.8944864651887284,0.08695497683487388,0.08689990454783043,0.0,0.0,0.020213414383324746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36.0,0.007319539151981659,0.8039216088173522,1.1317939058480513,0.0,0.04855610989587911,0.022492833037794577,0.8945195416674627,0.0868644180534363,0.08680939403424592,0.0,0.0,0.023164680592162278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37.0,0.0024320292200864665,0.4769076138030888,0.8805141389757012,0.0,0.04472357293097498,0.02372323535900162,0.8940050883151572,0.08690195318338396,0.0868003528920057,0.0,0.0,0.027804885352285376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38.0,0.004401185576803685,0.8839690088608947,1.3102199369091312,0.0,0.03998738943354092,0.017540394320098174,0.894211829794635,0.08682896825412433,0.08672290496248101,0.0,0.0,0.027408060642112562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
39.0,0.005320916713795541,0.5239761416346884,0.6923490312051259,0.0,0.053685454014559694,0.028676450062256817,0.8943086940850694,0.08694213909976725,0.08693838642799949,0.0,0.0,0.027349505075413463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
40.0,0.0018678510495843202,0.38966339098923514,0.8469818373438511,0.0,0.06260483667834837,0.046997140147892705,0.8939458634557734,0.08695915331359927,0.08685736911151493,0.0,0.0,0.013403740237740944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
